,ciphertext,degrees_ranked
555,~0198d6e2cb8564f7fc,Masters
556,~01c7a3827ed7b23e81,Bachelors
557,~0158b741bfd3ef42f3,Bachelors
558,~015c68fec3a390363b,Bachelors
559,~01e560781201aca761,Bachelors
560,~014995c7945f5b6560,Bachelors
561,~010d3282bd80e0cacd,Bachelors
562,~010943eb7c8d355e9f,
563,~010ce3357c158b7a1a,Masters
564,~015e3876e0faf4c2de,Bachelors
565,~01200d1e96c83374c9,Bachelors
566,~017b9452a89a587c73,Bachelors
567,~017efbf99e2487ef8d,Bachelors
568,~01c1ea5a3f59c14246,Masters
569,~01ce7dc9fb5d33fbac,Bachelors
570,~01d3e5cccd237a47ad,Masters
571,~01ae92b680c10825e1,Masters
572,~018ad799f44e5eecdd,Bachelors
573,~01b27643867d88dd39,Bachelors
574,~0126edacb7b5c973aa,Masters
575,~01dc70b5cb80d07d82,
576,~01bc48fbc2c0b81ecb,Bachelors
577,~01d706b9bee0686f8a,Masters
578,~0176cf1543d2031b76,Bachelors
579,~015fced7cc9e610c3b,Masters
580,~01a44b1929d0dec648,Bachelors
581,~018ac59007f09b648b,Masters
582,~0134668fe9a65825c1,Bachelors
583,~0159f8cdfda2a1feb0,Associates
584,~01470dca2c46654bc9,PhD
585,~01995a03f1b0ee0839,Bachelors
586,~01673b57f0f9348202,Bachelors
587,~01f3a8f126159e924b,Bachelors
588,~0133bc001ca815e424,Masters
589,~01c127e6935620a7c2,
590,~014872e6ca3d6d1610,Bachelors
591,~013b342d14fad80bd8,Masters
592,~01a0c4e499c6474f47,Bachelors
593,~01e133d69260b65195,Masters
594,~01b5b80408ec41bd0b,Masters
595,~0106efcf94d0588b88,Bachelors
596,~01b170b0e09dc374b6,Bachelors
597,~012f477b5b60abf1b7,PhD
598,~013bbe5795bcd43781,PhD
599,~014e7a155108f34504,Bachelors
600,~01f192a3d24c5f8977,Masters
601,~01101665dba818f216,Bachelors
602,~0101028b9bdbe8b78e,
603,~01acf3b0da49c01be5,Bachelors
604,~01acda011f47edaea3,Masters
605,~01f6b65d1021c2d752,Bachelors
606,~0179c5b300f9062242,
607,~0133c413a1b92172e3,Bachelors
608,~016c9268b8bd47db71,Bachelors
609,~0157d2ef64e7a36f95,Bachelors
610,~01a7c3b6caf775523e,Bachelors
611,~019a494397a3c34ea9,Bachelors
612,~0107fd8782ebbb87b3,Bachelors
613,~014e23573e1b6d0f9e,Masters
614,~0183e8e185ff3cbfd7,Masters
615,~019a185c62cb10e9c7,Bachelors
616,~01b2890a8d130cc55e,Bachelors
617,~01cc7a85b1685abc09,Bachelors
618,~010bcceb6682cf5904,Masters
619,~0127132fe1d0cae4b6,
620,~0106b8a585a22efd95,Bachelors
621,~018a7e8b18ffce8e2d,Bachelors
622,~012bb371aa4ce1db6f,Bachelors
623,~01f6f84af4c8fb1633,Bachelors
624,~0140a1b2923cf3bd2c,Masters
625,~0150572a5a62cdf125,Bachelors
626,~013d40e8130f8d241e,Bachelors
627,~0111466c873ec9c72d,Bachelors
628,~01f0190eee683b0101,High School
629,~0127e54a4c71a328a1,Masters
630,~012d3a00f529fd03e2,Bachelors
631,~01fab646f6b9bc78cb,Masters
632,~01648f26c4becf870c,Bachelors
633,~013ef37ba177e2a018,Bachelors
634,~012af5f24a338bfaf6,Bachelors
635,~0112a5230c917ad312,Masters
636,~01875f0b0e015a9160,PhD
637,~013c4222454961e7d8,Masters
638,~015188b21769b04e00,Masters
639,~01f12db3c5cffe7df7,Bachelors
640,~0177aa3ffe77be1915,Bachelors
641,~019f47e2d012155272,Masters
642,~013fedb4504004cb62,Bachelors
643,~0153944d6ff399f507,Bachelors
644,~010a1f0856d18a9d67,Bachelors
645,~01ce1a7c66fbc3beec,Bachelors
646,~0158decc381ea6ff40,Masters
647,~01bbb23eba01c9f0f7,
648,~014229fa12d516f2ed,Bachelors
649,~0187555ae7543b5817,Masters
650,~017a45b9265c488db0,Masters
651,~01f260bbafb8c0e026,
652,~016fae2156c2ff028b,Bachelors
653,~01b31ea6ec87addb5d,Masters
654,~01b12c9ea09dfbeb29,
655,~01a40d6565a88042a9,Bachelors
656,~01438656ba1f473785,Masters
657,~01dd4a7c8d5b482d8c,Bachelors
658,~01d8282967d329fc80,Masters
659,~01082dda3552a1cd33,Bachelors
660,~015a7f73f21fa08a44,Masters
661,~012217b30e2b9becf8,Bachelors
662,~0177337d0709825b23,Bachelors
663,~01428d16339fc88ab7,Bachelors
664,~019f58289b7e5b7e02,PhD
665,~0113873ec90fc00678,Bachelors
666,~01711ddb3cb98b7f58,Bachelors
667,~01c4ee7ac8f4369687,Bachelors
668,~01dd10a98457a123fc,other
669,~0190ffa1ef18888810,PhD
670,~0165be5bf3a85537fd,
671,~01a1dda62d427d12a0,Masters
672,~01f81b03d152d4640f,
673,~010416fe7b710201fb,Masters
674,~01228cf091818f186c,Bachelors
675,~012f44c39b093f568d,Bachelors
676,~01ff31a4e2a0f83dc1,Masters
677,~01ddf3b374fc510b8a,Masters
678,~01ea1dc341529cca62,Masters
679,~01c1a9b514dd3bedbe,Masters
680,~012dd80e9257215276,Masters
681,~01940a27a4c0d73aae,PhD
682,~01f7e58173d445f15a,Bachelors
683,~013850baebd784f7e7,Masters
684,~0164f53850cdbb7d44,PhD
685,~017fcbdb6a0dc9854c,Bachelors
686,~014a1bbf4d07691ead,Masters
687,~0195f4b2de8372c888,Masters
688,~018e649b542789176a,PhD
689,~0107818dc92e9dbe01,Bachelors
690,~01c804f492600a802f,PhD
691,~01dbdca7a3050e5a8f,Masters
692,~01ee0289d0271e6716,Masters
693,~016699ff3e26f23432,Associates
694,~017f083fb07aba61ef,PhD
695,~017bca00bf4a1d3ed4,Bachelors
696,~0195157d28c10cd51e,Masters
697,~01610a3668c60c7202,Bachelors
698,~01be3efd4602a82301,High School
